run_id,T1,d1,th1,br1,d2,th2,br2
209,0.5,-45.0,1.0,3.0,-22.5,0.5,0.5
210,0.5,22.5,0.0,6.0,0.0,0.5,1.0
211,0.5,0.0,0.5,10.0,22.5,0.5,1.0
212,0.5,45.0,1.0,0.0,22.5,0.5,3.0
213,0.5,-45.0,0.0,1.0,45.0,1.0,3.0
214,0.5,22.5,0.5,3.0,-45.0,1.0,6.0
215,0.5,-22.5,1.0,6.0,-22.5,1.0,6.0
216,0.5,45.0,0.0,10.0,-22.5,1.0,10.0
217,0.5,-22.5,0.5,0.5,0.0,0.0,10.0
218,0.5,22.5,1.0,1.0,22.5,0.0,0.0
219,0.5,0.0,0.0,3.0,22.5,0.0,0.0
220,0.5,45.0,0.5,6.0,45.0,0.5,0.5
221,0.5,-45.0,1.0,10.0,-45.0,0.5,0.5
222,0.5,0.0,0.0,0.0,-22.5,0.5,0.5
223,0.5,-22.5,0.5,0.5,-22.5,0.5,1.0
224,0.5,22.5,1.0,1.0,0.0,1.0,1.0
225,0.5,-45.0,0.0,3.0,22.5,1.0,3.0
226,0.5,22.5,0.5,10.0,45.0,1.0,3.0
227,0.5,0.0,1.0,0.0,45.0,1.0,6.0
228,0.5,45.0,0.0,0.5,-45.0,0.0,6.0
229,0.5,-45.0,0.5,1.0,-22.5,0.0,10.0
230,0.5,0.0,1.0,6.0,-22.5,0.0,10.0
231,0.5,-22.5,0.0,10.0,0.0,0.5,0.0
232,0.5,45.0,0.5,0.0,22.5,0.5,0.0
233,0.5,-22.5,1.0,0.5,45.0,0.5,0.5
234,0.5,22.5,0.0,3.0,45.0,0.5,0.5
235,0.5,0.0,0.5,6.0,-45.0,1.0,1.0
236,0.5,45.0,1.0,10.0,-22.5,1.0,1.0
237,0.5,-45.0,0.0,0.0,0.0,1.0,1.0
238,0.5,0.0,0.5,1.0,0.0,1.0,3.0
239,0.5,-22.5,1.0,3.0,22.5,0.0,3.0
240,0.5,45.0,0.0,6.0,45.0,0.0,6.0
241,0.5,-45.0,0.5,10.0,45.0,0.0,6.0
242,0.5,22.5,1.0,0.5,-45.0,0.0,10.0
243,0.5,0.0,0.0,1.0,-45.0,0.5,10.0
244,0.5,45.0,0.5,3.0,-22.5,0.5,0.0
245,0.5,-45.0,1.0,6.0,0.0,0.5,0.0
246,0.5,22.5,0.0,10.0,0.0,0.5,0.5
